bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
3059270024,3148192,150-74th Street,11209,Multifamily Housing,82,1930,57036,1,6,105.2,6002418.1,35.16,4.76,Multifamily Housing,,0,166805.9,64,4833716.8,,,,,,,
1012590054,1034215,30 W 44th Street,10036,Hotel,47,1900,59000,1,14,287.6,16968217.1,,8.76,Hotel,,0,4929745.2,,1501300,,,,,,,
1013050033,1036456,155 East,10022,Hotel,42,1963,153761,1,21,188.2,28933994.4,57.84,7.49,Hotel,,0,4605159.3,,13997499.9,,,,,,,
1013760036,1946606,540 Park Avenue,10065,Hotel,45,1960,320000,1,20,239.6,76659289.3,81.66,8.35,Hotel,"{'Hotel': 320000.0, 'Parking': 27000.0}",0,16554842.3,,22649785.2,,,,,,,
1017300045,1053892,10 West 135th Street,10037,Multifamily Housing,71,1958,280358,1,16,130.4,36560013.2,44.84,5.24,Multifamily Housing,,0,4222144.7,572,20595911.7,,,,,0,,
1008730001,1080799,201 Park Avenue South,10003,Hotel,55,1901,205473,1,20,201.5,41395315.3,45.12,7.88,Hotel,,0,7086038.2,,3212100.4,12353315.3,,,,,,
1021550068,1063705,361 AUDUBON AVENUE,10033,Multifamily Housing,37,1928,36500,1,6,159.7,5827649.2,,4.2,Multifamily Housing,,0,1728754.6,60,,,,,,,,
1009230011,1020430,Fierman Hall,10003,Medical Office,59,1964,84862,1,12,256.7,21780911.1,18.63,7.25,Medical Office,,0,6936595.9,,,,,,,,,
1014117501,1043173,145 East 76th Street,10021,Multifamily Housing,21,1999,65953,1,15,172.7,11389794.8,40.08,5.84,Multifamily Housing,,0,2611263.9,68,2891651,,,,,,,
2022830001,2092092,250 WILLIS AVE,10454,Supermarket/Grocery Store,,1929,50710,1,3,169.4,8592371.6,,4.78,Supermarket/Grocery,,0,2736424.1,,,,,,,,,
1008260057,"1080686; 1080687",24-28 West 25 Street ,10010,Office,96,1911,133562,2,12,127,16961762.7,12.34,4.45,Office,,0,4400814.5,,95573.3,,3.89332,,,,2678166.1,
2057740240,2084006,3825 Corlear Avenue,10463,College/University,,1947,161880,1,2,125.7,20349507.7,5.9,4.51,,,0,3459385.6,,7963866.4,,,,,,,
2024730067,2002900,675 Walton Avenue,10451,Multifamily Housing,89,1936,139417,1,6,91.5,12758108.9,37.92,3.81,Multifamily Housing,,0,1163794.3,157,8062985.2,,,,,,,
1008150021,1022565,104 West 40th Street,10018,Office,36,1962,173108,1,20,278.3,48182964.3,,10.4,Office,,0,9741941.9,,,14107463.8,2.21827,,,,,
1013110005,1036867,109 East 56 Street,10022,Hotel,26,1927,247600,1,22,204.3,50582257.6,43.14,7.64,Hotel,,0,9948454.8,,19026472.8,,,,,,,
