Table 1
Data Dictionary - Column Information,,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)",
Property Id,"Property IDs are unique identifiers for your property that can be used by EPA, you, or other organizations to track and manage your property. There are four main types of Property IDs:
Portfolio Manager Property IDs - This is a unique ID assigned by EPA to each property.
Portfolio Manager Parent Property IDs - If your property is a campus of buildings and you benchmark one or more ""child"" buildings individually, then each child building will be associated to its parent through this ID.
Custom IDs - A custom ID is an ID that you can set, for example, it could be an ID associated with your company or an ID for a campaign in which you are participating. When you enter a Custom ID, you can enter both a name for the ID and its actual value. For example: (Company ABC Inventory ID, 01234). When you search for these custom IDs in reports, you will see them only as Custom ID 1, Custom ID 2, and Custom ID 3, because Custom ID 1 could be different for different properties in your portfolio.
Standard IDs - A standard ID is a special type of ID with a set name that is available within Portfolio Manager. These are IDs associated with local legislation, national campaigns, or other large benchmarking activities. For example, New York City uses the Borough Block and Lot (BBL) number to track buildings in their jurisdiction. To enter a standard ID you can select the ID name from our dropdown list and then enter the value. See Standard ID for a full list.",,,
Property Name,Basic property information includes property name. ,,,
Parent Property Id,The ID for the campus is referred to as the Parent Property ID.,,,
Parent Property Name,"When you are benchmark a campus (or, collection of buildings) you can track information for the entire campus, as well as for individual buildings on the campus. If you choose to track at both of these levels, then you have ""parent-child"" relationship. The ""parent"" is the entire campus or complex. That is, the parent is the multi-building property for which you have also chosen to benchmark individual buildings separately.",,,
Year Ending,Calendar year,,,
"NYC Borough, Block and Lot (BBL)","10-digit property borough, block and lot identifier, originally entered into the ""Standard IDs"" field in Portfolio Manager and then verified and corrected, as necessary, by the Department of Finance (DOF). The first number represents the borough, where 1 is Manhattan, 2 is the Bronx, 3 is Brooklyn, 4 is Queens, and 5 is Staten Island. The following five numbers represent the tax block. If a property has a tax block that is less than 5 digits, then zeros are added before the block number so there are five digits in total.  The last four digits are the tax lot number.",,,
NYC Building Identification Number (BIN)," A seven-digit identifier
Example: 1234567
Find your BIN located at the top of each building’s Property Profile Overview screen on the New York City Department of Buildings’ Building Information System (BIS).",,,
Address 1,Street Address 1 (self-reported),,,
City,"City, self-reported",,,
Postal Code,"Postal zip code for the property, self-reported",,,
Primary Property Type - Self Selected,"This is the primary property type that you select. You select the type with which you most closely identify and you can change it at any time (on the Details tab, under Basic Information).",,,
Primary Property Type - Portfolio Manager-Calculated,"Portfolio Manager calculates a property type based on the property uses that you have entered. This is the property type that accounts for more than 50% of your property. For example, if you enter a property that has an Office that accounts for 60% of your Gross Floor Area (GFA) and a Retail store for 40%, the ""Portfolio Manager-Calculated"" Property Type will be ""Office."" This property type is used to determine your peer group for comparison to the National Median. If no individual property type accounts for more than 50%, then it will be designated as Mixed Use.",,,
